BEAT_Region;EEA_Region;EEA_SubRegion;CNTR_ID;SpatialAssessmentUnit;SAU_Name;Location;Group;SpeciesGroup;Species;SppID;IndicatorCode;Indicator;Category;Source;Threshold;Status;Bad;Reference;BQR
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;B. boops;;F/FMsy;B. boops;Fish;GFCM_UNEP_MAP;1;1.48;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Benthic Habitats;Invertebrates;A. antennatus;;F/FMsy;A. antennatus;Benthos;GFCM_UNEP_MAP;1;1.5;4;0;0.5
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Benthic Habitats;Invertebrates;P. longirostris;;F/FMsy;P. longirostris;Benthos;GFCM_UNEP_MAP;1;2.38;4;0;0.32
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish;GFCM_UNEP_MAP;1;2.33;12.8;0;0.53
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish;GFCM_UNEP_MAP;1;1.56;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish;GFCM_UNEP_MAP;1;3;12.8;0;0.49
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. surmuletus;;F/FMsy;M. surmuletus;Fish;GFCM_UNEP_MAP;1;3.41;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE30N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;B. boops;;F/FMsy;B. boops;Fish;GFCM_UNEP_MAP;1;1.48;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish;GFCM_UNEP_MAP;1;2.33;12.8;0;0.53
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish;GFCM_UNEP_MAP;1;1.56;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish;GFCM_UNEP_MAP;1;3;12.8;0;0.49
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. surmuletus;;F/FMsy;M. surmuletus;Fish;GFCM_UNEP_MAP;1;3.41;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;B. boops;;F/FMsy;B. boops;Fish;GFCM_UNEP_MAP;1;1.48;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE31N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;B. boops;;F/FMsy;B. boops;Fish;GFCM_UNEP_MAP;1;1.48;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N14;GSA03;Southern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N14;GSA04;Algeria;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish;GFCM_UNEP_MAP;1;2.33;12.8;0;0.53
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish;GFCM_UNEP_MAP;1;1.56;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish;GFCM_UNEP_MAP;1;3;12.8;0;0.49
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. surmuletus;;F/FMsy;M. surmuletus;Fish;GFCM_UNEP_MAP;1;3.41;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;B. boops;;F/FMsy;B. boops;Fish;GFCM_UNEP_MAP;1;1.48;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA03;Southern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N15;GSA04;Algeria;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish;GFCM_UNEP_MAP;1;2.33;12.8;0;0.53
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish;GFCM_UNEP_MAP;1;1.56;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish;GFCM_UNEP_MAP;1;3;12.8;0;0.49
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. surmuletus;;F/FMsy;M. surmuletus;Fish;GFCM_UNEP_MAP;1;3.41;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE32N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish;GFCM_UNEP_MAP;1;2.33;12.8;0;0.53
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish;GFCM_UNEP_MAP;1;1.56;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish;GFCM_UNEP_MAP;1;3;12.8;0;0.49
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. surmuletus;;F/FMsy;M. surmuletus;Fish;GFCM_UNEP_MAP;1;3.41;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA01;Northern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N15;GSA04;Algeria;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish;GFCM_UNEP_MAP;1;2.33;12.8;0;0.53
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish;GFCM_UNEP_MAP;1;1.56;12.8;0;0.57
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish;GFCM_UNEP_MAP;1;3;12.8;0;0.49
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish;GFCM_UNEP_MAP;1;8.5;12.8;0;0.21
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;M. surmuletus;;F/FMsy;M. surmuletus;Fish;GFCM_UNEP_MAP;1;3.41;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish;GFCM_UNEP_MAP;1;1.73;12.8;0;0.56
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA01;Northern Alboran Sea;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish;GFCM_UNEP_MAP;1;0.9;12.8;0;0.64
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA04;Algeria;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;3.42;12.8;0;0.47
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA06;Northern Spain;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish;GFCM_UNEP_MAP;1;1.08;12.8;0;0.59
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA06;Northern Spain;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish;GFCM_UNEP_MAP;1;6.5;12.8;0;0.32
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA06;Northern Spain;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish;GFCM_UNEP_MAP;1;3;12.8;0;0.49
Mediterranean Sea;Mediterranean Sea;Western Mediterranean Sea;;100kmE33N16;GSA06;Northern Spain;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish;GFCM_UNEP_MAP;1;1.24;12.8;0;0.58
